,Size & Momentum(2X3) Big - Down,Size & Momentum(2X3) Big - Medium,Size & Momentum(2X3x) BIg - Up,Size & Momentum(2X3) Small - Down,Size & Momentum(2X3) Small - Medium,Size & Momentum(2X3) Small - Up,UMD
2000-04-03 00:00:00,-2.59,-2.12,-2.02,-2.09,-3.93,-0.02,1.3199999999999998
2000-04-04 00:00:00,-0.06,0.19,-4.92,-4.25,-3.28,-6.57,-3.5900000000000003
2000-04-05 00:00:00,-0.06,0.19,-4.92,-4.25,-3.28,-6.57,-3.5900000000000003
2000-04-06 00:00:00,-2.77,-4.39,-1.71,-2.85,-1.3,-3.21,0.3500000000000001
2000-04-07 00:00:00,0.11,2.06,8.11,1.45,2.91,5.5,6.0249999999999995
2000-04-10 00:00:00,4.8,2.54,6.22,7.07,3.81,6.85,0.5999999999999996
2000-04-11 00:00:00,-2.52,-1.04,-3.51,-5.33,-4.36,-5.86,-0.7600000000000007
2000-04-12 00:00:00,0.6,-1.39,-3.39,0.31,-0.24,1.61,-1.345
2000-04-13 00:00:00,0.6,-1.39,-3.39,0.31,-0.24,1.61,-1.345
2000-04-14 00:00:00,2.8,-1.99,-9.06,0.11,-1.2,0.88,-5.545
2000-04-17 00:00:00,-7.8,-11.58,-13.09,-11.67,-11.46,-10.28,-1.9499999999999993
2000-04-18 00:00:00,3.97,4.22,5.45,4.61,4.29,-0.81,-1.9699999999999998
2000-04-19 00:00:00,0.36,1.33,0.9,3.01,4.05,4.25,0.8900000000000003
2000-04-20 00:00:00,-0.28,1.16,0.14,1.83,1.26,8.06,3.3250000000000006
2000-04-21 00:00:00,0.85,0.74,1.95,0.72,1.64,-0.79,-0.20499999999999996
2000-04-24 00:00:00,-2.69,-2.82,-2.49,-0.78,0.08,-1.87,-0.4450000000000003
2000-04-25 00:00:00,-1.45,-0.51,-2.44,-1.57,-1.31,-4.36,-1.8900000000000003
2000-04-26 00:00:00,-5.43,-4.15,-1.4,-4.01,-3.4,-3.85,2.0949999999999998
2000-04-27 00:00:00,-1.62,-2.55,-4.14,-1.7,-2.32,-2.04,-1.4299999999999997
2000-04-28 00:00:00,3.22,2.27,7.89,0.47,1,-1.34,1.4299999999999997
2000-05-01 00:00:00,3.22,2.27,7.89,0.47,1,-1.34,1.4299999999999997
2000-05-02 00:00:00,0.91,1.54,7.88,0.47,0.63,-1.27,2.6149999999999998
2000-05-03 00:00:00,1.43,-0.02,-0.26,0.54,1,2.27,0.019999999999999907
2000-05-04 00:00:00,0.3,-0.43,0.4,0.22,1.56,3.25,1.565
2000-05-05 00:00:00,0.3,-0.43,0.4,0.22,1.56,3.25,1.565
2000-05-08 00:00:00,-0.37,1.49,4.25,0.94,1.84,4.48,4.08
2000-05-09 00:00:00,-1.47,-0.23,-1.92,0.05,-0.69,0.18,-0.16000000000000003
2000-05-10 00:00:00,0.03,0.67,-0.53,-0.78,0.69,3.28,1.75
2000-05-11 00:00:00,0.03,0.67,-0.53,-0.78,0.69,3.28,1.75
2000-05-12 00:00:00,-2.46,-2.43,-2.08,-1.56,-0.28,4.71,3.3249999999999997
2000-05-15 00:00:00,-5.94,-2.25,-0.71,-4.39,-3.4,-1.61,4.005
2000-05-16 00:00:00,-0.72,1.44,3.88,-1.03,-1.08,-5.13,0.25
2000-05-17 00:00:00,-8.33,-3.58,-1.14,-5.46,-5.18,-3.04,4.805
2000-05-18 00:00:00,-2.31,-2.73,-1.95,-5.64,-5.86,-3.31,1.3449999999999998
2000-05-19 00:00:00,-0.43,1.77,3.34,-0.05,0.78,-4.65,-0.41500000000000026
2000-05-22 00:00:00,-5.36,-5.43,-5.97,-4.53,-5.75,-5.98,-1.0299999999999994
2000-05-23 00:00:00,3.61,-0.69,-4.2,-1.37,-1.31,-6.54,-6.49
2000-05-24 00:00:00,10.39,-0.45,-4.14,5.14,1.45,-6.16,-12.915000000000001
2000-05-25 00:00:00,9.96,4.34,2.6,8.24,6.25,7.99,-3.8050000000000015
2000-05-26 00:00:00,-9.36,-5.89,-6.02,-9.78,-7.17,-6.88,3.120000000000001
2000-05-29 00:00:00,7.31,-0.09,-1.86,2.47,-0.37,-1.62,-6.63
2000-05-30 00:00:00,4.37,5.75,5.71,4.94,4.52,7.4,1.8999999999999995
2000-05-31 00:00:00,3.1,4.88,8.71,4.58,3.76,7.83,4.43
2000-06-01 00:00:00,-4.62,0.38,2.52,-2.76,-1.36,-2.42,3.74
2000-06-02 00:00:00,6.25,3.26,1.99,2.1,1.84,1.47,-2.445
2000-06-05 00:00:00,12.87,5.44,2.27,8.9,6.89,6.66,-6.42
2000-06-06 00:00:00,12.87,5.44,2.27,8.9,6.89,6.66,-6.42
2000-06-07 00:00:00,7.65,5.08,1.92,5.23,3.47,3,-3.9800000000000004
2000-06-08 00:00:00,1.37,-2.66,-3.89,-0.51,-4.15,-4.23,-4.49
2000-06-09 00:00:00,-3.07,4.81,5,-1.88,-2.13,-1.67,4.14
2000-06-12 00:00:00,3.38,0.9,1.32,0.36,3.23,5.34,1.4600000000000002
2000-06-13 00:00:00,-7.96,-6.09,-3.27,-5.92,-2.45,-1.06,4.7749999999999995
2000-06-14 00:00:00,-3.3,0.96,3.33,0.64,-0.6,0.64,3.315
2000-06-15 00:00:00,-6.77,-4.45,-7.18,-6.31,-4.58,-3.94,0.9799999999999995
