,CP91,CD91
25/08/2000 0:00,7.12,7.04
28/08/2000 0:00,7.12,7.04
29/08/2000 0:00,7.12,7.05
30/08/2000 0:00,7.11,7.05
31/08/2000 0:00,7.11,7.05
01/09/2000 0:00,7.11,7.05
04/09/2000 0:00,7.11,7.05
05/09/2000 0:00,7.11,7.05
06/09/2000 0:00,7.11,7.05
07/09/2000 0:00,7.11,7.05
08/09/2000 0:00,7.11,7.04
11/09/2000 0:00,7.11,7.05
12/09/2000 0:00,7.11,7.05
13/09/2000 0:00,7.11,7.05
14/09/2000 0:00,7.11,7.05
15/09/2000 0:00,7.11,7.05
18/09/2000 0:00,7.11,7.05
19/09/2000 0:00,7.11,7.05
20/09/2000 0:00,7.11,7.05
21/09/2000 0:00,7.11,7.05
22/09/2000 0:00,7.11,7.05
25/09/2000 0:00,7.11,7.05
26/09/2000 0:00,7.11,7.05
27/09/2000 0:00,7.11,7.05
28/09/2000 0:00,7.11,7.05
29/09/2000 0:00,7.11,7.05
02/10/2000 0:00,7.11,7.05
03/10/2000 0:00,7.11,7.05
04/10/2000 0:00,7.11,7.05
05/10/2000 0:00,7.11,7.05
06/10/2000 0:00,7.11,7.05
09/10/2000 0:00,7.11,7.04
10/10/2000 0:00,7.11,7.04
11/10/2000 0:00,7.11,7.04
12/10/2000 0:00,7.11,7.04
13/10/2000 0:00,7.11,7.04
16/10/2000 0:00,7.11,7.04
17/10/2000 0:00,7.11,7.04
18/10/2000 0:00,7.11,7.04
19/10/2000 0:00,7.11,7.04
20/10/2000 0:00,7.11,7.04
23/10/2000 0:00,7.11,7.04
24/10/2000 0:00,7.11,7.04
25/10/2000 0:00,7.11,7.04
26/10/2000 0:00,7.11,7.04
27/10/2000 0:00,7.11,7.03
30/10/2000 0:00,7.11,7.02
31/10/2000 0:00,7.11,7.02
01/11/2000 0:00,7.11,7.02
02/11/2000 0:00,7.11,7.02
03/11/2000 0:00,7.11,7.02
06/11/2000 0:00,7.11,7.02
07/11/2000 0:00,7.11,7.02
08/11/2000 0:00,7.11,7.01
09/11/2000 0:00,7.11,7
10/11/2000 0:00,7.11,7
13/11/2000 0:00,7.11,7
14/11/2000 0:00,7.11,7
15/11/2000 0:00,7.11,7
16/11/2000 0:00,7.12,6.99
17/11/2000 0:00,7.12,6.99
20/11/2000 0:00,7.12,6.99
21/11/2000 0:00,7.12,6.99
22/11/2000 0:00,7.12,6.98
23/11/2000 0:00,7.12,6.98
24/11/2000 0:00,7.13,6.97
27/11/2000 0:00,7.13,6.95
28/11/2000 0:00,7.13,6.94
29/11/2000 0:00,7.13,6.94
30/11/2000 0:00,7.13,6.94
01/12/2000 0:00,7.13,6.92
04/12/2000 0:00,7.13,6.9
05/12/2000 0:00,7.13,6.9
06/12/2000 0:00,7.13,6.9
07/12/2000 0:00,7.13,6.9
08/12/2000 0:00,7.13,6.9
11/12/2000 0:00,7.13,6.9
12/12/2000 0:00,7.13,6.9
13/12/2000 0:00,7.13,6.9
14/12/2000 0:00,7.13,6.88
15/12/2000 0:00,7.13,6.88
18/12/2000 0:00,7.13,6.88
19/12/2000 0:00,7.13,6.88
20/12/2000 0:00,7.13,6.88
21/12/2000 0:00,7.13,6.88
22/12/2000 0:00,7.13,6.88
25/12/2000 0:00,7.13,6.88
26/12/2000 0:00,7.13,6.88
27/12/2000 0:00,7.13,6.88
28/12/2000 0:00,7.13,6.88
29/12/2000 0:00,7.13,6.88
01/01/2001 0:00,7.13,6.87
02/01/2001 0:00,7.13,6.88
03/01/2001 0:00,7.13,6.87
04/01/2001 0:00,7.11,6.77
05/01/2001 0:00,7.05,6.68
08/01/2001 0:00,6.99,6.66
09/01/2001 0:00,6.94,6.64
10/01/2001 0:00,6.91,6.64
11/01/2001 0:00,6.88,6.62
12/01/2001 0:00,6.86,6.59
15/01/2001 0:00,6.83,6.57
16/01/2001 0:00,6.8,6.55
17/01/2001 0:00,6.79,6.37
18/01/2001 0:00,6.78,6.24
19/01/2001 0:00,6.77,6.16
22/01/2001 0:00,6.76,6.08
23/01/2001 0:00,6.76,6.08
24/01/2001 0:00,6.76,6.08
25/01/2001 0:00,6.76,6.08
26/01/2001 0:00,6.73,6.05
29/01/2001 0:00,6.65,6.04
30/01/2001 0:00,6.59,6
31/01/2001 0:00,6.55,5.94
01/02/2001 0:00,6.52,5.91
02/02/2001 0:00,6.5,5.89
05/02/2001 0:00,6.48,5.86
06/02/2001 0:00,6.45,5.83
07/02/2001 0:00,6.44,5.8
08/02/2001 0:00,6.37,5.8
09/02/2001 0:00,6.29,5.78
12/02/2001 0:00,6.22,5.75
13/02/2001 0:00,6.1,5.73
14/02/2001 0:00,6.06,5.69
15/02/2001 0:00,6.03,5.67
16/02/2001 0:00,6.01,5.66
19/02/2001 0:00,5.98,5.63
20/02/2001 0:00,5.96,5.61
21/02/2001 0:00,5.96,5.62
22/02/2001 0:00,5.97,5.62
23/02/2001 0:00,6.02,5.65
26/02/2001 0:00,6.1,5.68
27/02/2001 0:00,6.12,5.69
28/02/2001 0:00,6.11,5.68
01/03/2001 0:00,6.11,5.68
02/03/2001 0:00,6.1,5.67
05/03/2001 0:00,6.09,5.66
06/03/2001 0:00,6.09,5.67
07/03/2001 0:00,6.1,5.68
08/03/2001 0:00,6.11,5.69
09/03/2001 0:00,6.1,5.68
12/03/2001 0:00,6.11,5.68
13/03/2001 0:00,6.12,5.68
14/03/2001 0:00,6.11,5.68
15/03/2001 0:00,6.09,5.67
16/03/2001 0:00,6.06,5.67
19/03/2001 0:00,6.03,5.67
20/03/2001 0:00,6.03,5.67
21/03/2001 0:00,6.01,5.68
22/03/2001 0:00,6,5.69
23/03/2001 0:00,6,5.69
26/03/2001 0:00,5.99,5.69
27/03/2001 0:00,5.97,5.69
28/03/2001 0:00,5.96,5.7
29/03/2001 0:00,5.95,5.7
30/03/2001 0:00,5.97,5.7
02/04/2001 0:00,6,5.74
03/04/2001 0:00,6.03,5.81
04/04/2001 0:00,6.05,5.87
05/04/2001 0:00,6.05,5.87
06/04/2001 0:00,6.05,5.87
09/04/2001 0:00,6.05,5.87
10/04/2001 0:00,6.05,5.84
11/04/2001 0:00,6.05,5.84
12/04/2001 0:00,6.05,5.83
13/04/2001 0:00,6.05,5.83
16/04/2001 0:00,6.05,5.83
17/04/2001 0:00,6.05,5.83
18/04/2001 0:00,6.05,5.83
19/04/2001 0:00,6.05,5.83
20/04/2001 0:00,6.05,5.83
23/04/2001 0:00,6.05,5.83
24/04/2001 0:00,6.05,5.83
25/04/2001 0:00,6.05,5.84
26/04/2001 0:00,6.05,5.86
27/04/2001 0:00,6.08,5.89
30/04/2001 0:00,6.1,5.92
01/05/2001 0:00,6.1,5.92
02/05/2001 0:00,6.1,5.9
03/05/2001 0:00,6.1,5.9
04/05/2001 0:00,6.1,5.89
07/05/2001 0:00,6.1,5.89
08/05/2001 0:00,6.1,5.89
09/05/2001 0:00,6.1,5.89
10/05/2001 0:00,6.1,5.89
11/05/2001 0:00,6.1,5.89
14/05/2001 0:00,6.09,5.89
15/05/2001 0:00,6.09,5.89
16/05/2001 0:00,6.08,5.88
17/05/2001 0:00,6.07,5.87
18/05/2001 0:00,6.06,5.85
21/05/2001 0:00,6.03,5.83
22/05/2001 0:00,6.03,5.83
23/05/2001 0:00,6.01,5.83
24/05/2001 0:00,6,5.82
25/05/2001 0:00,6,5.82
28/05/2001 0:00,5.96,5.81
29/05/2001 0:00,5.93,5.8
30/05/2001 0:00,5.92,5.78
31/05/2001 0:00,5.89,5.77
01/06/2001 0:00,5.88,5.76
04/06/2001 0:00,5.86,5.74
05/06/2001 0:00,5.82,5.74
06/06/2001 0:00,5.82,5.74
07/06/2001 0:00,5.81,5.74
08/06/2001 0:00,5.78,5.73
11/06/2001 0:00,5.76,5.73
12/06/2001 0:00,5.74,5.7
13/06/2001 0:00,5.71,5.67
14/06/2001 0:00,5.68,5.64
15/06/2001 0:00,5.66,5.62
18/06/2001 0:00,5.65,5.61
19/06/2001 0:00,5.65,5.61
20/06/2001 0:00,5.65,5.6
21/06/2001 0:00,5.65,5.6
22/06/2001 0:00,5.65,5.6
25/06/2001 0:00,5.64,5.59
